identifiant,type_de_logement,zonage_classification,facade_en_pieds,superficie_du_lot_pieds,type_de_route,acces_a_une_allee,forme_du_lot,topographie_du_terrain,services_publics_disponibles,configuration_du_lot,inclinaison_du_terrain,quartier,proximite_1ere_condition,proximite_2e_condition,type_de_batiment,style_de_maison,qualite_globale,etat_general,annee_de_construction,annee_de_renovation,style_de_toit,materiau_du_toit,revetement_exterieur_1,revetement_exterieur_2,type_de_parement_en_maconnerie,surface_de_parement_pieds,qualite_exterieure,etat_exterieur,type_de_fondation,qualite_du_sous_sol,etat_general_du_sous_sol,exposition_du_sous_sol,type_de_finition_sous_sol_1,surface_finie_sous_sol,type_de_finition_sous_sol_2,surface_finie_sous_sol_2,surface_non_finie_sous_sol,total_surface_sous_sol,type_de_chauffage,qualite_du_chauffage,climatisation_centrale,systeme_electrique,surface_du_premier_etage,surface_du_deuxieme_etage,surface_finie_basse_qualite_pieds,surface_habitable_totale,salles_de_bain_completes_sous_sol,demi_salles_de_bain_sous_sol,salles_de_bain_completes,demi_salles_de_bain,chambres_hors_sous_sol,cuisines_hors_sous_sol,qualite_de_la_cuisine,total_des_pieces_hors_sous_sol,fonctionnalite_globale,nombre_de_cheminees,qualite_de_la_cheminee,type_de_garage,annee_de_construction_du_garage,finition_interieure_du_garage,capacite_du_garage_voitures,surface_du_garage,qualite_du_garage,condition_du_garage,allee_pavee,surface_du_deck_en_bois,surface_du_porche_ouvert,porche_ferme,porche_trois_saisons,porche_screen,surface_de_la_piscine_pieds,qualite_de_la_piscine,cloture,caracteristiques_supplementaires,valeur_des_caracteristiques_supplementaires,mois_de_vente,annee_de_vente,type_de_vente,condition_de_la_vente,prix_de_vente,prix_de_vente_log,age_maison,age_renovation,age_garage,surface_totale,surface_totale_porches,total_salles_bain,presence_garage
1317,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,61,10226,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2008,2008,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,270,Bon,Moyen,PConc,Excellent,Moyen,Bonne exposition,Non fini,0,Non fini,0,1622,1622.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1630,0,0,1630,1,0,2,0,3,1,Excellent,8,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2008.0,Partiellement aménagé,3,860,Moyen,Moyen,Pavé,172,42,0,0,0,0,NA,NA,NA,0,Janvier,2009,Acte de garantie - Conventionnel,Vente normale,295493,12.59640381105362,1,1,1.0,3252.0,42,3.0,1
1318,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel flottant,47,4230,Pavé,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Somerset,Normale,Normale,Maison de ville (bout),Un étage,Bon,Moyenne,2006,2007,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Excellent,Bon,Aucune exposition,Non fini,0,Non fini,0,1352,1352.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1352,0,0,1352,0,0,2,0,2,1,Bon,5,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2006.0,Partiellement aménagé,2,466,Moyen,Moyen,Pavé,0,241,0,0,0,0,NA,NA,NA,0,Avril,2007,Maison neuve construite et vendue,Maison incomplète,208900,12.249615734512616,1,0,1.0,2704.0,241,2.0,1
1319,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,14781,Pavé,NA,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2001,2002,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,178,Bon,Moyen,PConc,Bon,Moyen,Bonne exposition,Non fini,0,Non fini,0,1753,1753.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1787,0,0,1787,0,0,2,0,3,1,Bon,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,2001.0,Partiellement aménagé,3,748,Moyen,Moyen,Pavé,198,150,0,0,0,0,NA,NA,NA,0,Août,2006,Acte de garantie - Conventionnel,Vente normale,275000,12.524530013005734,5,4,5.0,3540.0,150,2.0,1
1320,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,75,10215,Pavé,NA,Régulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,Moyenne,1954,1954,Pente,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Briques en façade,132,Moyen,Moyen,PConc,Moyen,Moyen,Aucune exposition,Fini - Moyenne,492,Non fini,0,372,864.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,948,0,0,948,0,0,1,0,3,1,Moyen,5,Typ,0,NA,Attaché à la maison,1954.0,Non aménagé,1,248,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Février,2007,Acte de garantie - Conventionnel,Vente normale,111000,11.6172944892629,53,53,53.0,1812.0,0,1.0,1
1321,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,70,8400,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Médiocre,1957,1957,Pente,Bardeau composite standard,Brique apparente,Brique apparente,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,189,Fini - Salle de jeux,661,628,1478.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1478,0,0,1478,1,0,1,1,3,1,Moyen,6,Typ,2,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1957.0,Partiellement aménagé,2,442,Moyen,Moyen,Pavé,114,0,0,0,216,0,NA,NA,NA,0,Juin,2009,Acte de garantie - Conventionnel,Vente normale,156500,11.960817678718287,52,52,52.0,2956.0,216,2.5,1
1322,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,6627,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Brookside,Proche d'une route secondaire,Normale,Maison individuelle,Un étage,Médiocre,Au-dessus de la moyenne,1949,1950,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,CBlock,NA,NA,NA,NA,0,NA,0,0,0.0,Chauffage par le sol,Moyen,Non,Disjoncteurs,720,0,0,720,0,0,1,0,2,1,Moyen,4,Typ,0,NA,Détaché de la maison,1955.0,Non aménagé,1,287,Moyen,Médiocre,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Juillet,2008,Acte de garantie - Conventionnel,Vente normale,72500,11.19135563385109,59,58,53.0,720.0,0,1.0,1
1323,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,107,10186,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,1992,1992,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,674,Non fini,0,76,750.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1061,862,0,1923,1,0,2,1,3,1,Bon,8,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1992.0,Partiellement aménagé,2,564,Moyen,Moyen,Pavé,240,39,0,0,0,0,NA,NA,NA,0,Juin,2010,Acte de garantie - Conventionnel,Vente normale,190000,12.154784614286667,18,18,18.0,2673.0,39,3.5,1
1324,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel basse densité,50,5330,Pavé,NA,Régulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Brookside,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,Bon,1940,1950,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Médiocre,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Qualité inférieure,280,Non fini,0,140,420.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,708,0,0,708,0,0,1,0,2,1,Médiocre,5,Typ,0,NA,NA,,NA,0,0,NA,NA,Pavé,164,0,0,0,0,0,NA,NA,NA,0,Décembre,2009,Acte de garantie - Conventionnel,Vente normale,82500,11.320565693461432,69,59,0.0,1128.0,0,1.0,0
1325,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,75,9986,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2006,2007,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,428,Bon,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Non fini,0,Non fini,0,1795,1795.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1795,0,0,1795,0,0,2,0,2,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2007.0,Partiellement aménagé,3,895,Moyen,Moyen,Pavé,0,49,0,0,0,0,NA,NA,NA,0,Février,2007,Maison neuve construite et vendue,Maison incomplète,147000,11.898194668458824,1,0,0.0,3590.0,49,2.0,1
1326,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel densité moyenne,40,3636,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Iowa DOT et chemin de fer,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,En dessous de la moyenne,1922,1950,Pignon,Bardeau composite standard,Bardeaux en amiante,Bardeaux en amiante,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Médiocre,Aucune exposition,Non fini,0,Non fini,0,796,796.0,Chauffage à gaz,Médiocre,Non,Disjoncteurs,796,0,0,796,0,0,1,0,2,1,Moyen,5,Typ,0,NA,NA,,NA,0,0,NA,NA,Gravier/Terre,0,0,100,0,0,0,NA,Intimité minimale,NA,0,Janvier,2008,Acte de garantie - Conventionnel,Vente normale,55000,10.915106645867503,86,58,0.0,1592.0,100,1.0,0
1327,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel haute densité,70,4270,Pavé,NA,Régulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Edwards,Normale,Normale,Maison individuelle,Un étage,Médiocre,Au-dessus de la moyenne,1931,2006,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,544,Non fini,0,0,544.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,774,0,0,774,0,0,1,0,3,1,Bon,6,Typ,0,NA,NA,,NA,0,0,NA,NA,Pavé,0,0,286,0,0,0,NA,NA,NA,0,Mai,2007,Acte de garantie - Conventionnel,Vente normale,79000,11.277215789596893,76,1,0.0,1318.0,286,1.0,0
1328,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,60,6600,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Mitchell,Normale,Normale,Maison individuelle,Un étage,Moyenne,Excellent,1982,2008,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Bon,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,641,Non fini,0,175,816.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,816,0,0,816,0,1,1,0,3,1,Bon,5,Typ,1,Excellent - Cheminée en maçonnerie exceptionnelle,Attaché à la maison,1982.0,Non aménagé,1,264,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,Intimité minimale,NA,0,Octobre,2008,Acte de garantie - Conventionnel,Vente normale,130500,11.779136168550774,26,0,26.0,1632.0,0,1.5,1
1329,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,60,10440,Pavé,Gravier,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Vieille Ville,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Bon,1920,1950,Pignon,Bardeau composite standard,Brique apparente,Revêtement en bois,Aucune,0,Bon,Bon,BrkTil,Bon,Moyen,Aucune exposition,Fini - Qualité inférieure,493,Non fini,0,1017,1510.0,Chauffage à gaz (chaudière),Excellent,Oui,Disjoncteurs,1584,1208,0,2792,0,0,2,0,5,1,Moyen,8,Mod,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Détaché de la maison,1920.0,Non aménagé,2,520,Médiocre,Moyen,Pavé,0,547,0,0,480,0,NA,Intimité minimale,Abri,1150,Juin,2008,Acte de garantie - Conventionnel,Vente normale,256000,12.45293662970407,88,58,88.0,4302.0,1027,2.0,1
1330,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,63,9084,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,1998,1998,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,935,935.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,955,677,0,1632,0,0,2,1,3,1,Moyen,8,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1998.0,Aménagé,2,462,Moyen,Moyen,Pavé,0,28,0,0,0,0,NA,NA,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente normale,176500,12.08108182106182,8,8,8.0,2567.0,28,2.5,1
1331,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,85,10000,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2006,2006,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,410,Bon,Moyen,PConc,Bon,Bon,Exposition au niveau moyen,Non fini,0,Non fini,0,1588,1588.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1588,0,0,1588,0,0,2,0,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2006.0,Partiellement aménagé,3,825,Moyen,Moyen,Pavé,144,45,0,0,0,0,NA,NA,NA,0,Décembre,2007,Acte de garantie - Conventionnel,Vente normale,227000,12.33270970174018,1,1,1.0,3176.0,45,2.0,1
1332,NIVEAUX MULTIPLES OU PARTIELS,Résidentiel basse densité,55,10780,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Niveaux divisés,Moyenne,Moyenne,1976,1976,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Exposition au niveau moyen,Fini - Moyenne,483,Non fini,0,428,911.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,954,0,0,954,0,0,1,0,3,1,Moyen,6,Typ,0,NA,Détaché de la maison,1976.0,Non aménagé,2,576,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Juillet,2006,Acte de garantie - Conventionnel,Vente normale,132500,11.794345471549745,30,30,30.0,1865.0,0,1.0,1
1333,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,67,8877,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Edwards,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,Au-dessus de la moyenne,1938,1958,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Exposition moyenne,Fini - Moyenne,690,Non fini,0,126,816.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,816,0,0,816,1,0,1,0,2,1,Moyen,3,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1958.0,Non aménagé,1,288,Médiocre,Médiocre,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Mai,2009,Acte de garantie - Conventionnel,Vente normale,100000,11.51293546492023,71,51,51.0,1632.0,0,2.0,1
1334,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,60,7200,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Iowa DOT et chemin de fer,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Moyenne,Au-dessus de la moyenne,1938,1995,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,803,803.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,803,557,0,1360,0,0,1,1,2,1,Bon,6,Typ,0,NA,Détaché de la maison,1951.0,Non aménagé,1,297,Moyen,Moyen,Pavé,0,65,190,0,0,0,NA,Intimité minimale,NA,0,Juillet,2006,Acte de garantie - Conventionnel,Vente normale,125500,11.74006900564972,68,11,55.0,2163.0,255,1.5,1
1335,2 ÉTAGES PUD - 1946 ET PLUS RÉCENT,Résidentiel densité moyenne,24,2368,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Briardale,Normale,Normale,Maison de ville (bout),Deux étages,Moyenne,Au-dessus de la moyenne,1970,1970,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,312,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Qualité inférieure,765,Non fini,0,0,765.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,765,600,0,1365,0,0,1,1,3,1,Moyen,7,Min1,0,NA,Attaché à la maison,1970.0,Non aménagé,2,440,Moyen,Moyen,Pavé,0,36,0,0,0,0,NA,NA,NA,0,Mai,2009,Acte de garantie - Conventionnel,Vente normale,125000,11.736077016252436,39,39,39.0,2130.0,36,1.5,1
1336,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,80,9650,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northwest Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,1977,1977,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Briques en façade,360,Moyen,Moyen,CBlock,Bon,Moyen,Aucune exposition,Fini - Moyenne,686,Non fini,0,664,1350.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1334,0,0,1334,0,1,2,0,2,1,Moyen,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1977.0,Partiellement aménagé,2,630,Moyen,Moyen,Pavé,0,16,0,0,0,0,NA,NA,NA,0,Avril,2009,Acte de garantie - Conventionnel,Vente normale,167900,12.031129798974042,32,32,32.0,2684.0,16,2.5,1
1337,DUPLEX - TOUS STYLES ET ÂGES,Résidentiel basse densité,87,9246,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northwest Ames,Proche d'une route secondaire,Normale,Duplex,Un étage,Moyenne,Moyenne,1973,1973,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Briques en façade,564,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,1656,1656.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1656,0,0,1656,0,0,2,0,4,2,Moyen,8,Typ,0,NA,Détaché de la maison,1973.0,Non aménagé,2,506,Moyen,Moyen,Pavé,0,211,0,0,0,0,NA,NA,NA,0,Novembre,2008,Acte de garantie - Conventionnel,Vente normale,135000,11.81303746480054,35,35,35.0,3312.0,211,2.0,1
1338,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel densité moyenne,153,4118,Pavé,Gravier,Légèrement irrégulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente modérée,Vieille Ville,Proche d'une route secondaire,Normale,Maison individuelle,Un étage,En dessous de la moyenne,En dessous de la moyenne,1941,1950,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,693,693.0,Gravité,Médiocre,Non,Fusibles anciens,693,0,0,693,0,0,1,0,2,1,Médiocre,4,Typ,0,NA,NA,,NA,0,0,NA,NA,Gravier/Terre,0,20,0,0,0,0,NA,NA,NA,0,Mars,2006,Acte de garantie - Conventionnel,Vente normale,52500,10.86858749601736,65,56,0.0,1386.0,20,1.0,0
1339,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,95,13450,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,2002,2002,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,700,Non fini,0,216,916.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,920,941,0,1861,1,0,2,1,3,1,Bon,8,Typ,0,NA,"Garage intégré (fait partie de la maison, souvent avec une pièce au-dessus)",2002.0,Partiellement aménagé,2,492,Moyen,Moyen,Pavé,146,91,0,0,0,0,NA,NA,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente normale,200000,12.206077645517674,4,4,4.0,2777.0,91,3.5,1
1340,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,120,9560,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Moyenne,Bon,1972,1972,Pente,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Bon,CBlock,Moyen,Moyen,Exposition moyenne,Fini - Salle de jeux,360,Non fini,0,504,864.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,864,0,0,864,0,0,1,0,3,1,Moyen,5,Typ,0,NA,Attaché à la maison,1972.0,Partiellement aménagé,1,288,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente normale,128500,11.7636919653883,34,34,34.0,1728.0,0,1.0,1
1341,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,70,8294,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,Moyenne,1971,1971,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,858,858.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,872,0,0,872,0,0,1,0,3,1,Moyen,5,Typ,0,NA,Détaché de la maison,1974.0,Non aménagé,4,480,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,Bonne qualité en bois,NA,0,Juin,2007,Acte de garantie - Conventionnel,Vente normale,123000,11.719947764402807,36,36,33.0,1730.0,0,1.0,1
1342,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,66,13695,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer Ouest,Adjacente à une voie ferrée est-ouest,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,2003,2004,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,814,Non fini,0,300,1114.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1114,0,0,1114,1,0,1,0,3,1,Bon,6,Typ,0,NA,Détaché de la maison,2004.0,Non aménagé,2,576,Moyen,Moyen,Pavé,0,78,0,0,0,0,NA,NA,NA,0,Juillet,2008,Acte de garantie - Conventionnel,Vente normale,155000,11.951186847493476,5,4,4.0,2228.0,78,2.0,1
1343,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,NA,9375,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2002,2002,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,149,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,1284,1284.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1284,885,0,2169,0,0,2,1,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2002.0,Partiellement aménagé,2,647,Moyen,Moyen,Pavé,192,87,0,0,0,0,NA,NA,NA,0,Août,2007,Acte de garantie - Conventionnel,Vente normale,228500,12.339295865674435,5,5,5.0,3453.0,87,2.5,1
1344,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,57,7558,Pavé,NA,Régulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Crawford,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Au-dessus de la moyenne,1928,1950,Pignon,Bardeau composite standard,Brique apparente,Pierre,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,896,896.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1172,741,0,1913,0,0,1,1,3,1,Moyen,9,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Détaché de la maison,1929.0,Non aménagé,2,342,Médiocre,Médiocre,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Mars,2009,Acte de garantie - Conventionnel,Vente normale,177000,12.08391066125752,81,59,80.0,2809.0,0,1.5,1
