identifiant,type_de_logement,zonage_classification,facade_en_pieds,superficie_du_lot_pieds,type_de_route,acces_a_une_allee,forme_du_lot,topographie_du_terrain,services_publics_disponibles,configuration_du_lot,inclinaison_du_terrain,quartier,proximite_1ere_condition,proximite_2e_condition,type_de_batiment,style_de_maison,qualite_globale,etat_general,annee_de_construction,annee_de_renovation,style_de_toit,materiau_du_toit,revetement_exterieur_1,revetement_exterieur_2,type_de_parement_en_maconnerie,surface_de_parement_pieds,qualite_exterieure,etat_exterieur,type_de_fondation,qualite_du_sous_sol,etat_general_du_sous_sol,exposition_du_sous_sol,type_de_finition_sous_sol_1,surface_finie_sous_sol,type_de_finition_sous_sol_2,surface_finie_sous_sol_2,surface_non_finie_sous_sol,total_surface_sous_sol,type_de_chauffage,qualite_du_chauffage,climatisation_centrale,systeme_electrique,surface_du_premier_etage,surface_du_deuxieme_etage,surface_finie_basse_qualite_pieds,surface_habitable_totale,salles_de_bain_completes_sous_sol,demi_salles_de_bain_sous_sol,salles_de_bain_completes,demi_salles_de_bain,chambres_hors_sous_sol,cuisines_hors_sous_sol,qualite_de_la_cuisine,total_des_pieces_hors_sous_sol,fonctionnalite_globale,nombre_de_cheminees,qualite_de_la_cheminee,type_de_garage,annee_de_construction_du_garage,finition_interieure_du_garage,capacite_du_garage_voitures,surface_du_garage,qualite_du_garage,condition_du_garage,allee_pavee,surface_du_deck_en_bois,surface_du_porche_ouvert,porche_ferme,porche_trois_saisons,porche_screen,surface_de_la_piscine_pieds,qualite_de_la_piscine,cloture,caracteristiques_supplementaires,valeur_des_caracteristiques_supplementaires,mois_de_vente,annee_de_vente,type_de_vente,condition_de_la_vente,prix_de_vente
1043,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel basse densité,34,5381,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison de ville (intérieur),Un étage,Au-dessus de la moyenne,Moyenne,2005,2005,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,135,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Moyenne,900,Non fini,0,406,1306.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1306,0,0,1306,1,0,2,0,1,1,Bon,5,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2005,Partiellement aménagé,2,624,Moyen,Moyen,Pavé,170,63,0,0,0,0,NA,NA,NA,0,Août,2009,Acte de garantie - Conventionnel,Vente normale,196000
1044,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,86,11839,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer Ouest,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,1990,1990,Pente,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,99,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,1085,Non fini,0,390,1475.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1532,797,0,2329,1,0,2,1,4,1,Bon,10,Typ,1,Excellent - Cheminée en maçonnerie exceptionnelle,Attaché à la maison,1990,Non aménagé,2,514,Moyen,Moyen,Pavé,192,121,0,0,0,0,NA,NA,NA,0,Mai,2008,Acte de garantie - Conventionnel,Vente normale,262280
1045,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,80,9600,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northwest Ames,Proche d'un espace vert ou parc,Normale,Maison individuelle,Un étage,Très bon,Moyenne,1981,1981,Pente,Bardeau en bois,Brique apparente,Brique apparente,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Moyenne,1104,Non fini,0,1420,2524.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,2524,0,0,2524,1,0,2,1,4,1,Bon,9,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1981,Aménagé,2,542,Moyen,Moyen,Pavé,474,120,0,0,0,0,NA,Intimité minimale,NA,0,Juillet,2009,Acte de garantie - Conventionnel,Vente normale,278000
1046,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,13680,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,Edwards,Normale,Normale,Maison individuelle,Un étage,Médiocre,Moyenne,1955,1955,Pente,Bardeau composite standard,Brique apparente,Revêtement en bois,Aucune,0,Moyen,Moyen,Slab,NA,NA,NA,NA,0,NA,0,0,0.0,Chauffage à gaz,Excellent,Oui,Fusibles anciens,1733,0,0,1733,0,0,2,0,4,1,Moyen,8,Min2,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1955,Non aménagé,2,452,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Juin,2009,Acte de garantie - Conventionnel,Vente normale,139600
1047,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,85,16056,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Stone Brook,Normale,Normale,Maison individuelle,Deux étages,Excellent,Moyenne,2005,2006,Pente,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Pierre,208,Bon,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Fini - Excellent,240,Non fini,0,1752,1992.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1992,876,0,2868,0,0,3,1,4,1,Excellent,11,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,"Garage intégré (fait partie de la maison, souvent avec une pièce au-dessus)",2005,Aménagé,3,716,Moyen,Moyen,Pavé,214,108,0,0,0,0,NA,NA,NA,0,Juillet,2006,Maison neuve construite et vendue,Maison incomplète,556581
1048,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,57,9245,Pavé,NA,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1994,1995,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,686,Non fini,0,304,990.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,990,0,0,990,0,1,1,0,3,1,Moyen,5,Typ,0,NA,Détaché de la maison,1996,Non aménagé,2,672,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Février,2008,Acte de garantie - Conventionnel,Vente normale,145000
1049,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,100,21750,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Mitchell,Normale,Normale,Maison individuelle,Un étage,Moyenne,En dessous de la moyenne,1960,2006,Pente,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,75,Moyen,Médiocre,Slab,NA,NA,NA,NA,0,NA,0,0,0.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1771,0,0,1771,0,0,1,0,3,1,Moyen,9,Min1,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1960,Non aménagé,2,336,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,Bonne intimité,NA,0,Novembre,2009,Acte de garantie - Conventionnel,Vente normale,115000
1050,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,60,11100,Pavé,NA,Régulier,Dépression,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,Bon,1946,2006,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,NA,NA,NA,NA,0,NA,0,0,0.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,930,0,0,930,0,0,1,0,2,1,Bon,6,Typ,0,NA,Détaché de la maison,1946,Non aménagé,1,308,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Avril,2010,Acte de garantie - Conventionnel,Vente anormale,84900
1051,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,73,8993,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,2007,2007,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Non fini,0,Non fini,0,1302,1302.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1302,0,0,1302,0,0,2,0,3,1,Bon,6,Typ,0,NA,Attaché à la maison,2007,Aménagé,2,436,Moyen,Moyen,Pavé,0,22,0,0,0,0,NA,NA,NA,0,Août,2007,Maison neuve construite et vendue,Maison incomplète,176485
1052,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,103,11175,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,2007,2007,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Non fini,0,Non fini,0,1316,1316.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1316,0,0,1316,0,0,2,0,3,1,Bon,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2007,Aménagé,2,440,Moyen,Moyen,Pavé,0,20,0,0,0,0,NA,NA,NA,0,Octobre,2007,Maison neuve construite et vendue,Maison incomplète,200141
1053,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,100,9500,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,North Ames,Proche d'une artère principale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Au-dessus de la moyenne,1964,1978,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques communes,272,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,442,Non fini,0,374,816.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1127,850,0,1977,0,1,1,1,4,1,Moyen,9,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1964,Partiellement aménagé,2,540,Moyen,Moyen,Pavé,0,52,0,0,0,0,NA,Bonne intimité,NA,0,Juin,2007,Acte de garantie - Conventionnel,Vente normale,165000
1054,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,68,8562,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Edwards,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1957,2002,Pente,Bardeau composite standard,Panneau dur,Panneau dur,Pierre,145,Moyen,Moyen,CBlock,Moyen,Moyen,Exposition au niveau moyen,Fini - Salle de jeux,383,Non fini,0,833,1216.0,Chauffage à gaz,Excellent,Oui,Fusibles anciens,1526,0,0,1526,0,0,1,0,4,1,Moyen,7,Min2,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Garage au sous-sol,1957,Non aménagé,1,364,Moyen,Moyen,Pavé,116,78,0,0,0,0,NA,NA,NA,0,Mai,2010,Acte de garantie - Conventionnel,Vente normale,144500
1055,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,90,11367,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2002,2002,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,210,Bon,Moyen,PConc,Bon,Moyen,Exposition moyenne,Fini - Excellent,932,Non fini,0,133,1065.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1091,898,0,1989,1,0,2,1,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2002,Aménagé,2,586,Moyen,Moyen,Pavé,199,60,0,0,0,0,NA,NA,NA,0,Novembre,2006,Acte de garantie - Conventionnel,Vente normale,255000
1056,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,104,11361,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northwest Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,1976,1976,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Briques en façade,160,Moyen,Moyen,CBlock,Bon,Moyen,Aucune exposition,Fini - Moyenne,644,Non fini,0,549,1193.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1523,0,0,1523,0,1,2,0,3,1,Moyen,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1976,Aménagé,2,478,Moyen,Moyen,Pavé,0,0,0,0,189,0,NA,Intimité minimale,NA,0,Mai,2008,Acte de l'officier judiciaire/Etat,Vente anormale,180000
1057,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel basse densité,43,7052,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison de ville (bout),Un étage,Bon,Moyenne,2005,2005,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,240,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,659,Non fini,0,705,1364.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1364,0,0,1364,1,0,2,0,2,1,Bon,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2005,Partiellement aménagé,2,484,Moyen,Moyen,Pavé,192,36,0,0,0,0,NA,NA,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente normale,185850
1058,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,NA,29959,Pavé,NA,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Northridge,Normale,Normale,Maison individuelle,Deux étages,Bon,Au-dessus de la moyenne,1994,1994,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,595,Non fini,0,378,973.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,979,871,0,1850,0,0,2,1,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,"Garage intégré (fait partie de la maison, souvent avec une pièce au-dessus)",1994,Aménagé,2,467,Moyen,Moyen,Pavé,168,98,0,0,0,0,NA,NA,NA,0,Janvier,2009,Acte de garantie - Conventionnel,Vente normale,248000
1059,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,96,11308,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Deux étages,Excellent,Moyenne,2008,2008,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,154,Excellent,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Fini - Excellent,936,Non fini,0,168,1104.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1130,1054,0,2184,1,0,2,1,3,1,Excellent,10,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2008,Aménagé,3,836,Moyen,Moyen,Pavé,0,102,0,0,0,0,NA,NA,NA,0,Juillet,2009,Acte de garantie - Conventionnel,Vente normale,335000
1060,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,NA,11275,Pavé,NA,Légèrement irrégulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente modérée,Crawford,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Bon,1932,1950,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Briques en façade,480,Moyen,Moyen,CBlock,Moyen,Moyen,Exposition moyenne,Fini - Salle de jeux,297,Fini - Qualité inférieure,557,0,854.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1096,895,0,1991,0,0,1,1,3,1,Moyen,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1977,Non aménagé,2,432,Moyen,Médiocre,Pavé,0,0,19,0,0,0,NA,NA,NA,0,Mars,2007,Acte de garantie - Conventionnel,Vente normale,220000
1061,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel basse densité,41,4920,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Stone Brook,Normale,Normale,Maison de ville (bout),Un étage,Très bon,Moyenne,2001,2001,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Exposition moyenne,Fini - Excellent,616,Non fini,0,722,1338.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1338,0,0,1338,1,0,2,0,2,1,Bon,6,Typ,0,NA,Attaché à la maison,2001,Aménagé,2,582,Moyen,Moyen,Pavé,0,0,170,0,0,0,NA,NA,NA,0,Avril,2010,Acte de garantie - Conventionnel,Vente normale,213500
1062,1 ÉTAGE 1945 ET PLUS ANCIEN,Commercial,120,18000,Gravier,NA,Régulier,Dépression,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Iowa DOT et chemin de fer,Normale,Normale,Maison individuelle,Un étage,Médiocre,En dessous de la moyenne,1935,1950,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Médiocre,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,894,894.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,894,0,0,894,0,0,1,0,2,1,Moyen,6,Typ,0,NA,Détaché de la maison,1994,Partiellement aménagé,3,1248,Moyen,Moyen,Pavé,0,20,0,0,0,0,NA,NA,Abri,560,Août,2008,Contrat - Acompte faible,Vente normale,81000
1063,CONVERSION 2 FAMILLES - TOUS STYLES ET ÂGES,Résidentiel densité moyenne,85,13600,Pavé,Gravier,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Normale,Normale,Conversion deux familles,Deux étages,Moyenne,Moyenne,1900,1950,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,662,662.0,Chauffage à gaz,Moyen,Non,Disjoncteurs,1422,915,0,2337,0,0,2,0,5,2,Moyen,10,Min2,0,NA,Détaché de la maison,1945,Non aménagé,2,560,Moyen,Moyen,Pavé,0,57,0,0,0,0,NA,NA,NA,0,Septembre,2007,Acte de garantie - Conventionnel,Vente normale,90000
1064,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel densité moyenne,50,6000,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Proche d'une artère principale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Au-dessus de la moyenne,1925,1980,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Bon,BrkTil,Moyen,Moyen,Aucune exposition,Partiellement fini,397,Non fini,0,706,1103.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1103,0,0,1103,0,0,1,0,2,1,Bon,5,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1976,Non aménagé,2,440,Moyen,Moyen,Pavé,166,120,0,0,0,0,NA,Intimité minimale,NA,0,Juillet,2006,Acte de garantie - Conventionnel,Vente normale,110500
1065,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,11000,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1966,1966,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Briques en façade,200,Moyen,Moyen,CBlock,Moyen,Moyen,Exposition moyenne,Partiellement fini,740,Fini - Salle de jeux,230,184,1154.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1154,0,0,1154,0,0,1,1,3,1,Moyen,6,Typ,1,Mauvais - Poêle de type Ben Franklin,Attaché à la maison,1966,Partiellement aménagé,2,480,Moyen,Moyen,Pavé,0,58,0,0,0,0,NA,Intimité minimale,NA,0,Novembre,2009,Acte de garantie - Conventionnel,Vente normale,154000
1066,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,80,14000,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Clear Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,1996,1997,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Bon,Moyen,PConc,Excellent,Moyen,Bonne exposition,Fini - Excellent,1201,Non fini,0,105,1306.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1306,954,0,2260,1,0,2,1,3,1,Bon,7,Typ,0,NA,Attaché à la maison,1996,Partiellement aménagé,2,533,Moyen,Moyen,Pavé,296,44,0,0,0,0,NA,NA,NA,0,Avril,2010,Acte de garantie - Conventionnel,Vente normale,328000
1067,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,59,7837,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Bon,1993,1994,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,799,799.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,799,772,0,1571,0,0,2,1,3,1,Moyen,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1993,Partiellement aménagé,2,380,Moyen,Moyen,Pavé,0,40,0,0,0,0,NA,NA,NA,0,Mai,2009,Acte de garantie - Conventionnel,Vente normale,178000
1068,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,80,9760,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,North Ames,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Au-dessus de la moyenne,1964,1964,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,360,Moyen,Moyen,CBlock,Moyen,Moyen,Bonne exposition,Fini - Excellent,674,Fini - Qualité inférieure,106,0,780.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,798,813,0,1611,1,0,1,1,4,1,Moyen,7,Typ,0,NA,Attaché à la maison,1964,Partiellement aménagé,2,442,Moyen,Moyen,Pavé,328,128,0,0,189,0,NA,NA,NA,0,Juin,2008,Acte de garantie - Conventionnel,Vente normale,167900
1069,2 ÉTAGES PUD - 1946 ET PLUS RÉCENT,Résidentiel densité moyenne,42,3964,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Meadow Village,Normale,Normale,Maison de ville (bout),Deux étages,Au-dessus de la moyenne,En dessous de la moyenne,1973,1973,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Aucune,0,Moyen,Moyen,CBlock,Bon,Moyen,Aucune exposition,Fini - Moyenne,837,Non fini,0,105,942.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1291,1230,0,2521,1,0,2,1,5,1,Moyen,10,Maj1,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1973,Aménagé,2,576,Moyen,Moyen,Pavé,728,20,0,0,0,0,NA,Bonne intimité,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente normale,151400
1070,1 ÉTAGE ET DEMI - NON AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,60,9600,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,"Un étage et demi, non aménagé",Moyenne,Bon,1949,2003,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,220,Non fini,0,625,845.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,893,0,0,893,0,1,1,0,2,1,Bon,4,Typ,0,NA,Détaché de la maison,1985,Non aménagé,2,576,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Mai,2007,Acte de garantie - Conventionnel,Vente normale,135000
1071,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,72,10152,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1956,1956,Pente,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Briques en façade,120,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Partiellement fini,586,Non fini,0,462,1048.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1048,0,0,1048,1,0,1,0,3,1,Moyen,6,Typ,0,NA,Attaché à la maison,1956,Non aménagé,1,286,Moyen,Moyen,Pavé,0,20,0,0,192,0,NA,NA,NA,0,Juin,2007,Acte de garantie - Conventionnel,Vente normale,135000
